Region,Infrastructure,ResidenceCountry,Date,Arrivals,Attendance
L'Aquila,HOTELLIKE,Italia,2008-02-01,56456.0,160372.0
L'Aquila,HOTELLIKE,Paesi esteri,2008-02-01,1644.0,5523.0
L'Aquila,OTHER,Italia,2008-02-01,4444.0,11614.0
L'Aquila,OTHER,Paesi esteri,2008-02-01,148.0,507.0
Pescara,HOTELLIKE,Italia,2008-02-01,17267.0,32406.0
Pescara,HOTELLIKE,Paesi esteri,2008-02-01,2207.0,7714.0
Pescara,OTHER,Italia,2008-02-01,240.0,1336.0
Pescara,OTHER,Paesi esteri,2008-02-01,56.0,736.0
Teramo,HOTELLIKE,Italia,2008-02-01,12081.0,38551.0
Teramo,HOTELLIKE,Paesi esteri,2008-02-01,1353.0,6219.0
Teramo,OTHER,Italia,2008-02-01,309.0,746.0
Teramo,OTHER,Paesi esteri,2008-02-01,382.0,1413.0
Abruzzo,HOTELLIKE,Italia,2008-03-01,84219.0,221282.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-03-01,7601.0,24421.0
Abruzzo,OTHER,Italia,2008-03-01,6258.0,18576.0
Abruzzo,OTHER,Paesi esteri,2008-03-01,507.0,3494.0
Chieti,HOTELLIKE,Italia,2008-03-01,15502.0,38820.0
Chieti,HOTELLIKE,Paesi esteri,2008-03-01,1691.0,4890.0
Chieti,OTHER,Italia,2008-03-01,1581.0,6039.0
Chieti,OTHER,Paesi esteri,2008-03-01,108.0,1398.0
L'Aquila,HOTELLIKE,Italia,2008-03-01,36680.0,109468.0
L'Aquila,HOTELLIKE,Paesi esteri,2008-03-01,1665.0,5498.0
L'Aquila,OTHER,Italia,2008-03-01,3666.0,9653.0
L'Aquila,OTHER,Paesi esteri,2008-03-01,257.0,775.0
Pescara,HOTELLIKE,Italia,2008-03-01,19805.0,40520.0
Pescara,HOTELLIKE,Paesi esteri,2008-03-01,2632.0,8103.0
Pescara,OTHER,Italia,2008-03-01,538.0,1681.0
Pescara,OTHER,Paesi esteri,2008-03-01,88.0,1065.0
Teramo,HOTELLIKE,Italia,2008-03-01,12232.0,32474.0
Teramo,HOTELLIKE,Paesi esteri,2008-03-01,1613.0,5930.0
Teramo,OTHER,Italia,2008-03-01,473.0,1203.0
Teramo,OTHER,Paesi esteri,2008-03-01,54.0,256.0
Abruzzo,HOTELLIKE,Italia,2008-04-01,72917.0,162002.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-04-01,9962.0,30923.0
Abruzzo,OTHER,Italia,2008-04-01,6097.0,17485.0
Abruzzo,OTHER,Paesi esteri,2008-04-01,1250.0,6102.0
Chieti,HOTELLIKE,Italia,2008-04-01,16006.0,39537.0
Chieti,HOTELLIKE,Paesi esteri,2008-04-01,2313.0,7564.0
Chieti,OTHER,Italia,2008-04-01,1586.0,6518.0
Chieti,OTHER,Paesi esteri,2008-04-01,122.0,1631.0
L'Aquila,HOTELLIKE,Italia,2008-04-01,19898.0,45486.0
L'Aquila,HOTELLIKE,Paesi esteri,2008-04-01,2012.0,7003.0
L'Aquila,OTHER,Italia,2008-04-01,2576.0,5604.0
L'Aquila,OTHER,Paesi esteri,2008-04-01,274.0,816.0
Pescara,HOTELLIKE,Italia,2008-04-01,21673.0,43182.0
Pescara,HOTELLIKE,Paesi esteri,2008-04-01,3067.0,7771.0
Pescara,OTHER,Italia,2008-04-01,461.0,2000.0
Pescara,OTHER,Paesi esteri,2008-04-01,129.0,1209.0
Teramo,HOTELLIKE,Italia,2008-04-01,15340.0,33797.0
Teramo,HOTELLIKE,Paesi esteri,2008-04-01,2570.0,8585.0
Teramo,OTHER,Italia,2008-04-01,1474.0,3363.0
Teramo,OTHER,Paesi esteri,2008-04-01,725.0,2446.0
Abruzzo,HOTELLIKE,Italia,2008-05-01,87828.0,202270.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-05-01,17054.0,58693.0
Abruzzo,OTHER,Italia,2008-05-01,14443.0,49483.0
Abruzzo,OTHER,Paesi esteri,2008-05-01,4935.0,33860.0
Chieti,HOTELLIKE,Italia,2008-05-01,19113.0,44270.0
Chieti,HOTELLIKE,Paesi esteri,2008-05-01,3341.0,10559.0
Chieti,OTHER,Italia,2008-05-01,2285.0,10285.0
Chieti,OTHER,Paesi esteri,2008-05-01,415.0,3094.0
L'Aquila,HOTELLIKE,Italia,2008-05-01,20188.0,46276.0
L'Aquila,HOTELLIKE,Paesi esteri,2008-05-01,3560.0,10248.0
L'Aquila,OTHER,Italia,2008-05-01,2864.0,6285.0
L'Aquila,OTHER,Paesi esteri,2008-05-01,660.0,1742.0
Pescara,HOTELLIKE,Italia,2008-05-01,27584.0,54715.0
Pescara,HOTELLIKE,Paesi esteri,2008-05-01,4232.0,11420.0
Pescara,OTHER,Italia,2008-05-01,1042.0,3018.0
Pescara,OTHER,Paesi esteri,2008-05-01,292.0,1765.0
Teramo,HOTELLIKE,Italia,2008-05-01,20943.0,57009.0
Teramo,HOTELLIKE,Paesi esteri,2008-05-01,5921.0,26466.0
Teramo,OTHER,Italia,2008-05-01,8252.0,29895.0
Teramo,OTHER,Paesi esteri,2008-05-01,3568.0,27259.0
Abruzzo,HOTELLIKE,Italia,2008-06-01,128627.0,557384.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-06-01,18081.0,84015.0
Abruzzo,OTHER,Italia,2008-06-01,35350.0,298905.0
Abruzzo,OTHER,Paesi esteri,2008-06-01,6641.0,49450.0
Chieti,HOTELLIKE,Italia,2008-06-01,23521.0,75219.0
Chieti,HOTELLIKE,Paesi esteri,2008-06-01,3190.0,10281.0
Chieti,OTHER,Italia,2008-06-01,5010.0,35132.0
Chieti,OTHER,Paesi esteri,2008-06-01,436.0,3728.0
L'Aquila,HOTELLIKE,Italia,2008-06-01,22692.0,68206.0
L'Aquila,HOTELLIKE,Paesi esteri,2008-06-01,3525.0,12295.0
L'Aquila,OTHER,Italia,2008-06-01,2734.0,9598.0
L'Aquila,OTHER,Paesi esteri,2008-06-01,928.0,2915.0
Pescara,HOTELLIKE,Italia,2008-06-01,30205.0,116229.0
Pescara,HOTELLIKE,Paesi esteri,2008-06-01,4428.0,15177.0
Pescara,OTHER,Italia,2008-06-01,1259.0,5284.0
Pescara,OTHER,Paesi esteri,2008-06-01,395.0,3236.0
Teramo,HOTELLIKE,Italia,2008-06-01,52209.0,297730.0
Teramo,HOTELLIKE,Paesi esteri,2008-06-01,6938.0,46262.0
Teramo,OTHER,Italia,2008-06-01,26347.0,248891.0
Teramo,OTHER,Paesi esteri,2008-06-01,4882.0,39571.0
Abruzzo,HOTELLIKE,Italia,2008-07-01,156239.0,911178.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-07-01,26349.0,147386.0
Abruzzo,OTHER,Italia,2008-07-01,50557.0,598897.0
Abruzzo,OTHER,Paesi esteri,2008-07-01,12648.0,125006.0
Chieti,HOTELLIKE,Italia,2008-07-01,27809.0,121719.0
Chieti,HOTELLIKE,Paesi esteri,2008-07-01,4421.0,17974.0
Chieti,OTHER,Italia,2008-07-01,9153.0,115954.0
Chieti,OTHER,Paesi esteri,2008-07-01,1096.0,9830.0
L'Aquila,HOTELLIKE,Italia,2008-07-01,35729.0,156297.0
L'Aquila,HOTELLIKE,Paesi esteri,2008-07-01,4309.0,16077.0
L'Aquila,OTHER,Italia,2008-07-01,6070.0,21359.0
L'Aquila,OTHER,Paesi esteri,2008-07-01,1151.0,4717.0
Pescara,HOTELLIKE,Italia,2008-07-01,31370.0,155890.0
Pescara,HOTELLIKE,Paesi esteri,2008-07-01,7073.0,30180.0
Pescara,OTHER,Italia,2008-07-01,1720.0,10336.0
Pescara,OTHER,Paesi esteri,2008-07-01,683.0,5778.0
